dataset,seed,state,depth,dose_ratio,epsilon,margin,agreement,split_regret_norm
australian,seed_2,probe_depth_2,2,1.5,35.69509404096752,23.79672936064501,0.3828125,0.4657616802077913
australian,seed_2,probe_depth_2,2,2.0,47.59345872129002,23.79672936064501,0.3828125,0.47668197048220545
australian,seed_2,probe_depth_0,0,0.0,0.0,47.845308718112406,1.0,0.0
australian,seed_2,probe_depth_0,0,0.25,11.961327179528102,47.845308718112406,1.0,0.0
australian,seed_2,probe_depth_0,0,0.49,23.44420127187508,47.845308718112406,1.0,0.0
australian,seed_2,probe_depth_0,0,0.5,23.922654359056203,47.845308718112406,1.0,0.0
australian,seed_2,probe_depth_0,0,0.75,35.88398153858431,47.845308718112406,0.859375,0.08027181516191537
australian,seed_2,probe_depth_0,0,1.0,47.845308718112406,47.845308718112406,0.6484375,0.20347759824278616
australian,seed_2,probe_depth_0,0,1.5,71.76796307716862,47.845308718112406,0.453125,0.33807084263042053
australian,seed_2,probe_depth_0,0,2.0,95.69061743622481,47.845308718112406,0.328125,0.42950025322742613
australian,seed_2,probe_depth_1,1,0.0,0.0,47.845308718112406,1.0,0.0
australian,seed_2,probe_depth_1,1,0.25,11.961327179528102,47.845308718112406,1.0,0.0
australian,seed_2,probe_depth_1,1,0.49,23.44420127187508,47.845308718112406,1.0,0.0
australian,seed_2,probe_depth_1,1,0.5,23.922654359056203,47.845308718112406,1.0,0.0
australian,seed_2,probe_depth_1,1,0.75,35.88398153858431,47.845308718112406,0.859375,0.08114038053855627
australian,seed_2,probe_depth_1,1,1.0,47.845308718112406,47.845308718112406,0.6953125,0.17870126632100652
australian,seed_2,probe_depth_1,1,1.5,71.76796307716862,47.845308718112406,0.40625,0.3759565015794575
australian,seed_2,probe_depth_1,1,2.0,95.69061743622481,47.845308718112406,0.375,0.4024463779592362
australian,seed_2,probe_depth_0,0,0.0,0.0,30.294611125916372,1.0,0.0
australian,seed_2,probe_depth_0,0,0.25,7.573652781479093,30.294611125916372,1.0,0.0
australian,seed_2,probe_depth_0,0,0.49,14.844359451699022,30.294611125916372,1.0,0.0
australian,seed_2,probe_depth_0,0,0.5,15.147305562958186,30.294611125916372,1.0,0.0
australian,seed_2,probe_depth_0,0,0.75,22.72095834443728,30.294611125916372,0.8203125,0.10718516394209904
australian,seed_2,probe_depth_0,0,1.0,30.294611125916372,30.294611125916372,0.671875,0.19970526392988572
australian,seed_2,probe_depth_0,0,1.5,45.44191668887456,30.294611125916372,0.390625,0.39806141000537243
australian,seed_2,probe_depth_0,0,2.0,60.589222251832744,30.294611125916372,0.359375,0.4218629287230292
australian,seed_2,probe_depth_1,1,0.0,0.0,30.294611125916372,1.0,0.0
australian,seed_2,probe_depth_1,1,0.25,7.573652781479093,30.294611125916372,1.0,0.0
australian,seed_2,probe_depth_1,1,0.49,14.844359451699022,30.294611125916372,1.0,0.0
australian,seed_2,probe_depth_1,1,0.5,15.147305562958186,30.294611125916372,1.0,0.0
australian,seed_2,probe_depth_1,1,0.75,22.72095834443728,30.294611125916372,0.8125,0.11244397335920944
australian,seed_2,probe_depth_1,1,1.0,30.294611125916372,30.294611125916372,0.6328125,0.23570887942468277
australian,seed_2,probe_depth_1,1,1.5,45.44191668887456,30.294611125916372,0.4296875,0.3629099881116147
australian,seed_2,probe_depth_1,1,2.0,60.589222251832744,30.294611125916372,0.3046875,0.45966569555178877
australian,seed_2,probe_depth_0,0,0.0,0.0,20.43711060047724,1.0,0.0
australian,seed_2,probe_depth_0,0,0.25,5.10927765011931,20.43711060047724,1.0,0.0
australian,seed_2,probe_depth_0,0,0.49,10.014184194233847,20.43711060047724,1.0,0.0
australian,seed_2,probe_depth_0,0,0.5,10.21855530023862,20.43711060047724,1.0,0.0
australian,seed_2,probe_depth_0,0,0.75,15.32783295035793,20.43711060047724,0.7890625,0.14029491117816092
australian,seed_2,probe_depth_0,0,1.0,20.43711060047724,20.43711060047724,0.5859375,0.2824204542226578
australian,seed_2,probe_depth_0,0,1.5,30.65566590071586,20.43711060047724,0.375,0.4347164952021897
australian,seed_2,probe_depth_0,0,2.0,40.87422120095448,20.43711060047724,0.3515625,0.4646694376997027
australian,seed_2,probe_depth_1,1,0.0,0.0,20.43711060047724,1.0,0.0
australian,seed_2,probe_depth_1,1,0.25,5.10927765011931,20.43711060047724,1.0,0.0
australian,seed_2,probe_depth_1,1,0.49,10.014184194233847,20.43711060047724,1.0,0.0
australian,seed_2,probe_depth_1,1,0.5,10.21855530023862,20.43711060047724,1.0,0.0
australian,seed_2,probe_depth_1,1,0.75,15.32783295035793,20.43711060047724,0.7734375,0.14917078907687176
australian,seed_2,probe_depth_1,1,1.0,20.43711060047724,20.43711060047724,0.640625,0.24696482099304012
australian,seed_2,probe_depth_1,1,1.5,30.65566590071586,20.43711060047724,0.453125,0.38276493199509165
australian,seed_2,probe_depth_1,1,2.0,40.87422120095448,20.43711060047724,0.3359375,0.4732085821085614
bank_marketing,seed_0,root,0,0.0,0.0,14.812141201714098,1.0,0.0
bank_marketing,seed_0,root,0,0.25,3.7030353004285246,14.812141201714098,1.0,0.0
bank_marketing,seed_0,root,0,0.49,7.257949188839908,14.812141201714098,1.0,0.0
bank_marketing,seed_0,root,0,0.5,7.406070600857049,14.812141201714098,1.0,0.0
bank_marketing,seed_0,root,0,0.75,11.109105901285574,14.812141201714098,0.9375,0.0013090533757605365
bank_marketing,seed_0,root,0,1.0,14.812141201714098,14.812141201714098,0.8203125,0.003808363948918953
bank_marketing,seed_0,root,0,1.5,22.218211802571147,14.812141201714098,0.6796875,0.007884915563761474
bank_marketing,seed_0,root,0,2.0,29.624282403428197,14.812141201714098,0.5546875,0.010909696675715723
bank_marketing,seed_0,probe_depth_0,0,0.0,0.0,14.812141201714098,1.0,0.0
bank_marketing,seed_0,probe_depth_0,0,0.25,3.7030353004285246,14.812141201714098,1.0,0.0
bank_marketing,seed_0,probe_depth_0,0,0.49,7.257949188839908,14.812141201714098,1.0,0.0
bank_marketing,seed_0,probe_depth_0,0,0.5,7.406070600857049,14.812141201714098,1.0,0.0
bank_marketing,seed_0,probe_depth_0,0,0.75,11.109105901285574,14.812141201714098,0.9375,0.0013489071478560125
bank_marketing,seed_0,probe_depth_0,0,1.0,14.812141201714098,14.812141201714098,0.8359375,0.0035309178200981636
bank_marketing,seed_0,probe_depth_0,0,1.5,22.218211802571147,14.812141201714098,0.6171875,0.00967221420466772
bank_marketing,seed_0,probe_depth_0,0,2.0,29.624282403428197,14.812141201714098,0.5390625,0.01142626543710937
bank_marketing,seed_0,probe_depth_2,2,0.0,0.0,10.046127176239565,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.25,2.5115317940598914,10.046127176239565,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.49,4.922602316357387,10.046127176239565,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.5,5.023063588119783,10.046127176239565,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.75,7.534595382179674,10.046127176239565,0.953125,0.00727489118875224
bank_marketing,seed_0,probe_depth_2,2,1.0,10.046127176239565,10.046127176239565,0.7578125,0.04108110033246
bank_marketing,seed_0,probe_depth_2,2,1.5,15.069190764359348,10.046127176239565,0.546875,0.0853586044184094
bank_marketing,seed_0,probe_depth_2,2,2.0,20.09225435247913,10.046127176239565,0.46875,0.10421851684588222
bank_marketing,seed_0,probe_depth_2,2,0.0,0.0,153.30382811518217,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.25,38.32595702879554,153.30382811518217,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.49,75.11887577643927,153.30382811518217,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.5,76.65191405759109,153.30382811518217,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.75,114.97787108638663,153.30382811518217,0.859375,0.07743797032807592
bank_marketing,seed_0,probe_depth_2,2,1.0,153.30382811518217,153.30382811518217,0.6015625,0.22412139358339897
bank_marketing,seed_0,probe_depth_2,2,1.5,229.95574217277326,153.30382811518217,0.421875,0.33723909328205537
bank_marketing,seed_0,probe_depth_2,2,2.0,306.60765623036434,153.30382811518217,0.3671875,0.3833077584986069
bank_marketing,seed_0,probe_depth_1,1,0.0,0.0,2.55565781158964,1.0,0.0
bank_marketing,seed_0,probe_depth_1,1,0.25,0.63891445289741,2.55565781158964,1.0,0.0
bank_marketing,seed_0,probe_depth_1,1,0.49,1.2522723276789236,2.55565781158964,1.0,0.0
bank_marketing,seed_0,probe_depth_1,1,0.5,1.27782890579482,2.55565781158964,1.0,0.0
bank_marketing,seed_0,probe_depth_1,1,0.75,1.91674335869223,2.55565781158964,0.9296875,0.004411147874184052
bank_marketing,seed_0,probe_depth_1,1,1.0,2.55565781158964,2.55565781158964,0.8828125,0.007351913123640086
bank_marketing,seed_0,probe_depth_1,1,1.5,3.83348671738446,2.55565781158964,0.796875,0.01274331608097615
bank_marketing,seed_0,probe_depth_1,1,2.0,5.11131562317928,2.55565781158964,0.671875,0.02058535674619224
bank_marketing,seed_0,probe_depth_2,2,0.0,0.0,1.4282037920183797,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.25,0.3570509480045949,1.4282037920183797,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.49,0.699819858089006,1.4282037920183797,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.5,0.7141018960091898,1.4282037920183797,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.75,1.0711528440137847,1.4282037920183797,0.9375,0.004551908661576359
bank_marketing,seed_0,probe_depth_2,2,1.0,1.4282037920183797,1.4282037920183797,0.8984375,0.007396851575061584
bank_marketing,seed_0,probe_depth_2,2,1.5,2.1423056880275695,1.4282037920183797,0.7890625,0.015362691732820212
bank_marketing,seed_0,probe_depth_2,2,2.0,2.8564075840367593,1.4282037920183797,0.75,0.018207634646305437
bank_marketing,seed_0,probe_depth_2,2,0.0,0.0,1.0210052047909812,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.25,0.2552513011977453,1.0210052047909812,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.49,0.5002925503475808,1.0210052047909812,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.5,0.5105026023954906,1.0210052047909812,1.0,0.0
bank_marketing,seed_0,probe_depth_2,2,0.75,0.7657539035932359,1.0210052047909812,0.9765625,0.002097360226568961
bank_marketing,seed_0,probe_depth_2,2,1.0,1.0210052047909812,1.0210052047909812,0.890625,0.009787681057321819
bank_marketing,seed_0,probe_depth_2,2,1.5,1.5315078071864718,1.0210052047909812,0.75,0.022371842416735583
bank_marketing,seed_0,probe_depth_2,2,2.0,2.0420104095819624,1.0210052047909812,0.65625,0.03076128332301143
bank_marketing,seed_0,probe_depth_0,0,0.0,0.0,11.886192834302733,1.0,0.0
bank_marketing,seed_0,probe_depth_0,0,0.25,2.9715482085756832,11.886192834302733,1.0,0.0
bank_marketing,seed_0,probe_depth_0,0,0.49,5.824234488808339,11.886192834302733,1.0,0.0
bank_marketing,seed_0,probe_depth_0,0,0.5,5.9430964171513665,11.886192834302733,1.0,0.0
bank_marketing,seed_0,probe_depth_0,0,0.75,8.91464462572705,11.886192834302733,0.8984375,0.0021418153814800546
bank_marketing,seed_0,probe_depth_0,0,1.0,11.886192834302733,11.886192834302733,0.8046875,0.00411887573361549
