dataset,method,method_label,budget,seed,reg_lambda,probe_depth,sld_inf,sld_l1,sld_inf_norm,sld_l1_norm,sld_root_inf,sld_root_l1,sld_root_inf_norm,sld_root_l1_norm,sld_root_margin,sld_root_margin_satisfied,sld_root_agreement_direct,sld_rank_correlation_direct,sld_margin_satisfied_rate,sld_states,sld_depth_0_inf_norm,sld_depth_0_agreement,sld_depth_1_inf_norm,sld_depth_1_agreement,sld_depth_2_inf_norm,sld_depth_2_agreement
australian,histdistill_density,HistDistill-Density,budget_50,seed_0,0.1,0,7.22568539339038,172.29717643820737,0.09820665759825357,0.02300308371182655,8.645448655096413,197.7697146789944,0.07854445001726983,0.018334187920707696,55.65285586258567,1.0,1.0,0.9601716649558181,1.0,5.0,0.09820665759825357,1.0,,,,
australian,histdistill_density,HistDistill-Density,budget_50,seed_0,0.1,1,6.875999080986629,167.1723483387322,0.09864760713038513,0.023491909624027148,8.645448655096413,197.7697146789944,0.07854445001726983,0.018334187920707696,55.65285586258567,1.0,1.0,0.9592827975357096,1.0,9.0,0.09820665759825357,1.0,0.09919879404554957,1.0,,
australian,histdistill_density,HistDistill-Density,budget_50,seed_0,0.1,2,6.8956279702152,158.60636856038096,0.19258990690313932,0.040063909672072566,8.645448655096413,197.7697146789944,0.07854445001726983,0.018334187920707696,55.65285586258567,1.0,1.0,0.9048054012770183,0.6923076923076923,13.0,0.09820665759825357,1.0,0.09919879404554957,1.0,0.4039600813918361,1.0
australian,histdistill_density,HistDistill-Density,budget_50,seed_0,1.0,0,6.916761240770907,167.73979908621698,0.09604254509787072,0.02257055264498584,8.476568084740505,195.48669163936597,0.07836837111127666,0.018255879798364103,55.16541470118885,1.0,1.0,0.960190356497559,1.0,5.0,0.09604254509787072,1.0,,,,
australian,histdistill_density,HistDistill-Density,budget_50,seed_0,1.0,1,6.6167125679682925,162.23617479510403,0.09683462311380267,0.023033133645638162,8.476568084740505,195.48669163936597,0.07836837111127666,0.018255879798364103,55.16541470118885,1.0,1.0,0.9594730722222652,1.0,9.0,0.09604254509787072,1.0,0.09782472063371761,1.0,,
australian,histdistill_density,HistDistill-Density,budget_50,seed_0,1.0,2,6.622743866117928,152.66364644085974,0.19045330754696116,0.0390895429784019,8.476568084740505,195.48669163936597,0.07836837111127666,0.018255879798364103,55.16541470118885,1.0,1.0,0.9005629389708836,0.6923076923076923,13.0,0.09604254509787072,1.0,0.09782472063371761,1.0,0.4010953475215677,1.0
australian,histdistill_density,HistDistill-Density,budget_50,seed_0,10.0,0,5.459698671994394,132.88719425630296,0.0902812210060939,0.021153729656222236,7.102157831662624,153.6279246425449,0.07703722686232081,0.0166640471298913,49.92026476725809,1.0,1.0,0.9618608720170189,1.0,5.0,0.0902812210060939,1.0,,,,
australian,histdistill_density,HistDistill-Density,budget_50,seed_0,10.0,1,5.277203209809035,129.11945329586953,0.09175277591095758,0.021678463612336742,7.102157831662624,153.6279246425449,0.07703722686232081,0.0166640471298913,49.92026476725809,1.0,1.0,0.9610371497577133,1.0,9.0,0.0902812210060939,1.0,0.09359221954203717,1.0,,
australian,histdistill_density,HistDistill-Density,budget_50,seed_0,10.0,2,5.120108101476816,122.15901375869679,0.184368311546195,0.04267302857084782,7.102157831662624,153.6279246425449,0.07703722686232081,0.0166640471298913,49.92026476725809,1.0,1.0,0.8838075907346685,0.7692307692307693,13.0,0.0902812210060939,1.0,0.09359221954203717,1.0,0.39275326672547917,1.0
australian,histdistill_density,HistDistill-Density,budget_50,seed_1,0.1,0,6.560983817147141,181.66815917679975,0.07985973135541491,0.021111822936114848,8.380336808579514,224.45130881508382,0.07613589205706985,0.018537767211237444,55.65285586258567,1.0,1.0,0.9481681912202731,1.0,5.0,0.07985973135541491,1.0,,,,
australian,histdistill_density,HistDistill-Density,budget_50,seed_1,0.1,1,6.380755265482214,155.32274184600277,0.25632124769818976,0.04015948468786027,8.380336808579514,224.45130881508382,0.07613589205706985,0.018537767211237444,55.65285586258567,1.0,1.0,0.7367444825131124,0.8181818181818182,11.0,0.07985973135541491,1.0,0.40337251131716884,0.6666666666666666,,
australian,histdistill_density,HistDistill-Density,budget_50,seed_1,0.1,2,6.467211724509025,141.97743805229263,0.3710870221593782,0.05690961955321582,8.380336808579514,224.45130881508382,0.07613589205706985,0.018537767211237444,55.65285586258567,1.0,1.0,0.6862197295287489,0.631578947368421,19.0,0.07985973135541491,1.0,0.40337251131716884,0.6666666666666666,0.5288899620435125,0.75
australian,histdistill_density,HistDistill-Density,budget_50,seed_1,1.0,0,6.22417988418264,170.5996730141843,0.07575471530862235,0.020137570921082773,8.200710563743996,208.26694582060819,0.07581798699789843,0.017504448345255077,55.16541470118885,1.0,1.0,0.9515143602907752,1.0,5.0,0.07575471530862235,1.0,,,,
australian,histdistill_density,HistDistill-Density,budget_50,seed_1,1.0,1,5.946183690126915,149.1505287777393,0.25271446051722246,0.046408563193818246,8.200710563743996,208.26694582060819,0.07581798699789843,0.017504448345255077,55.16541470118885,1.0,1.0,0.820322253792272,0.8181818181818182,11.0,0.07575471530862235,1.0,0.4001809148577226,0.6666666666666666,,
australian,histdistill_density,HistDistill-Density,budget_50,seed_1,1.0,2,6.006252677092554,135.68245490995713,0.3717038486664035,0.06493269345715552,8.200710563743996,208.26694582060819,0.07581798699789843,0.017504448345255077,55.16541470118885,1.0,1.0,0.7628811179197642,0.631578947368421,19.0,0.07575471530862235,1.0,0.4001809148577226,0.6666666666666666,0.5353142573715273,0.75
australian,histdistill_density,HistDistill-Density,budget_50,seed_1,10.0,0,4.9542930389385536,126.15300703552188,0.07061694684198687,0.017517229542380025,6.7722212260165975,154.07323376089806,0.07345839888612153,0.01547439804235219,49.92026476725809,1.0,1.0,0.9613646264592729,1.0,5.0,0.07061694684198687,1.0,,,,
australian,histdistill_density,HistDistill-Density,budget_50,seed_1,10.0,1,4.527928904264512,120.72998158468053,0.23137727683729692,0.06925654822746105,6.7722212260165975,154.07323376089806,0.07345839888612153,0.01547439804235219,49.92026476725809,1.0,1.0,0.9145853866236968,0.8181818181818182,11.0,0.07061694684198687,1.0,0.3653442185000553,0.6666666666666666,,
australian,histdistill_density,HistDistill-Density,budget_50,seed_1,10.0,2,4.43673498761867,106.89448945508494,0.31275850197128124,0.07322968541963779,6.7722212260165975,154.07323376089806,0.07345839888612153,0.01547439804235219,49.92026476725809,1.0,1.0,0.8472435234588693,0.631578947368421,19.0,0.07061694684198687,1.0,0.3653442185000553,0.6666666666666666,0.4246576865305095,0.75
