dataset,method,method_label,budget,seed,checkpoint,rho_max,rho_mean,rho_p90,rows
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_25,seed_1,50,1.3291685283184052,0.44512086728587746,0.8380124308168888,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_25,seed_2,1,0.10636299476027489,0.03357576938346028,0.05811986327171326,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_25,seed_2,5,0.30189961940050125,0.10406008254736662,0.21080016735941173,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_25,seed_2,10,0.4882677234709263,0.1777007109299302,0.3405830726027489,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_25,seed_2,25,0.851708397269249,0.33452465653419494,0.6285739151760937,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_25,seed_2,50,1.1808598944917321,0.4890675843320787,0.9535595761612059,50
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_50,seed_0,1,0.11694489046931267,0.04416424691444263,0.07953646779060364,100
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_50,seed_0,5,0.3473229259252548,0.11337475004605949,0.2173315078020096,100
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_50,seed_0,10,0.42638516426086426,0.1535830956324935,0.2951936960220337,100
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_50,seed_0,25,0.7574295103549957,0.2694314823579043,0.48774928040802495,100
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_50,seed_0,50,1.2252579927444458,0.40005550117231903,0.7603882670402528,100
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_50,seed_1,1,0.15969333052635193,0.03755151190562174,0.07217852398753166,100
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_50,seed_1,5,0.2679236065596342,0.1088563057873398,0.19413769319653512,100
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_50,seed_1,10,0.49888323061168194,0.1676877781469375,0.32329650595784193,100
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_50,seed_1,25,1.0298891961574554,0.29747383744455874,0.5696406546980144,100
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,histdistill_refined,HistDistill-Refined,budget_50,seed_1,50,1.468621850013733,0.4431721210014075,0.8011807546019557,100
