selector,dataset,budget,seed,chosen_method,best_method,top1,top3,rank_spearman,candidate_methods
sld,credit_g,budget_25,seed_1,mvs_coreset,gain_path_refined,0.0,0.0,-0.4526315789473685,12
sld,credit_g,budget_25,seed_2,histdistill_refined,histdistill_refined,1.0,1.0,-0.536842105263158,12
sld,credit_g,budget_50,seed_0,mvs_coreset,herding,0.0,0.0,-0.46666666666666673,12
sld,credit_g,budget_50,seed_1,histdistill_density,herding,0.0,0.0,-0.4456140350877193,12
sld,credit_g,budget_50,seed_2,histdistill_density,herding,0.0,1.0,-0.41754385964912283,12
sld,diabetes,budget_25,seed_0,histdistill_refined,gain_path_refined,0.0,1.0,-0.6210526315789474,12
sld,diabetes,budget_25,seed_1,histdistill_refined,gain_path_refined,0.0,1.0,-0.3403508771929825,12
sld,diabetes,budget_25,seed_2,histdistill_refined,gain_path_refined,0.0,1.0,-0.5438596491228072,12
sld,diabetes,budget_50,seed_0,histdistill_refined,histdistill_refined,1.0,1.0,0.052631578947368425,12
sld,diabetes,budget_50,seed_1,histdistill_refined,gain_path_refined,0.0,1.0,-0.26315789473684215,12
sld,diabetes,budget_50,seed_2,histdistill_density,gain_path_refined,0.0,1.0,-0.33333333333333337,12
sld,electricity,budget_25,seed_0,gain_path_refined,gain_path_refined,1.0,1.0,-0.4947368421052632,12
sld,electricity,budget_25,seed_1,mvs_coreset,histdistill_refined,0.0,0.0,0.3403508771929825,12
sld,electricity,budget_25,seed_2,mvs_coreset,gain_path_refined,0.0,0.0,0.08771929824561404,12
sld,electricity,budget_50,seed_0,goss_coreset,gain_path_refined,0.0,0.0,-0.3473684210526316,12
sld,electricity,budget_50,seed_1,el2n_coreset,gain_path_refined,0.0,0.0,-0.1929824561403509,12
sld,electricity,budget_50,seed_2,histdistill_density,histdistill_refined,0.0,1.0,-0.649122807017544,12
sld,gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,budget_25,seed_0,gain_path_refined,goss_coreset,0.0,0.0,-0.05964912280701754,12
sld,gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,budget_25,seed_1,gain_path_refined,craig_coreset,0.0,1.0,0.031578947368421054,12
sld,gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,budget_25,seed_2,histdistill_refined,histdistill_greedy,0.0,0.0,0.3684210526315789,12
sld,gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,budget_50,seed_0,histdistill_refined,el2n_coreset,0.0,1.0,0.27017543859649124,12
sld,gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,budget_50,seed_1,gain_path_refined,histdistill_density,0.0,1.0,-0.41754385964912283,12
sld,gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,budget_50,seed_2,gain_path_refined,el2n_coreset,0.0,0.0,0.45964912280701764,12
sld,gametes_epistasis_2_way_20atts_0_1h_edm_1_1,budget_25,seed_0,histdistill_refined,histdistill_density,0.0,0.0,-0.48070175438596496,12
sld,gametes_epistasis_2_way_20atts_0_1h_edm_1_1,budget_25,seed_1,histdistill_refined,herding,0.0,0.0,-0.3473684210526316,12
sld,gametes_epistasis_2_way_20atts_0_1h_edm_1_1,budget_25,seed_2,histdistill_density,herding,0.0,0.0,-0.4456140350877193,12
sld,gametes_epistasis_2_way_20atts_0_1h_edm_1_1,budget_50,seed_0,histdistill_refined,gradmatch_coreset,0.0,1.0,-0.5087719298245614,12
sld,gametes_epistasis_2_way_20atts_0_1h_edm_1_1,budget_50,seed_1,histdistill_refined,histdistill_refined,1.0,1.0,-0.6140350877192983,12
sld,gametes_epistasis_2_way_20atts_0_1h_edm_1_1,budget_50,seed_2,histdistill_refined,gain_path_refined,0.0,0.0,-0.6701754385964913,12
sld,gametes_epistasis_2_way_20atts_0_4h_edm_1_1,budget_25,seed_0,histdistill_density,gain_path_refined,0.0,1.0,-0.7894736842105264,12
sld,gametes_epistasis_2_way_20atts_0_4h_edm_1_1,budget_25,seed_1,histdistill_refined,gradmatch_coreset,0.0,0.0,-0.536842105263158,12
sld,gametes_epistasis_2_way_20atts_0_4h_edm_1_1,budget_25,seed_2,histdistill_refined,gain_path_refined,0.0,1.0,-0.6771929824561405,12
sld,gametes_epistasis_2_way_20atts_0_4h_edm_1_1,budget_50,seed_0,histdistill_refined,random,0.0,0.0,-0.05964912280701754,12
sld,gametes_epistasis_2_way_20atts_0_4h_edm_1_1,budget_50,seed_1,histdistill_density,random,0.0,0.0,-0.4323381017763653,12
sld,gametes_epistasis_2_way_20atts_0_4h_edm_1_1,budget_50,seed_2,histdistill_refined,histdistill_density,0.0,1.0,-0.5578947368421053,12
