dataset,budget,seed,method,auroc,sld_inf_norm,sld_root_margin_satisfied,sld_root_agreement_direct,sld_margin_satisfied_rate,sld_rank_correlation_direct,sld_inf_raw
adult,budget_50,seed_1,random,0.7769497786882769,2.1054028050797085,0.0,0.0,0.0,0.4525954324067516,320.90811420692893
adult,budget_50,seed_2,gain_path_refined,0.8066289991485205,2.2177909165627536,0.0,0.0,0.0,0.5809882008095101,331.291505271829
adult,budget_50,seed_2,herding,0.7651190768586207,7.872132963458434,0.0,0.0,0.0,0.4193754612872716,754.0401710254866
adult,budget_50,seed_2,histdistill_density,0.7907787303123586,1.9217964152014724,0.0,0.0,0.0,0.6011281534966766,296.4823320019361
adult,budget_50,seed_2,histdistill_refined,0.79616882848437,1.8902508471656867,0.0,0.0,0.0,0.615636043236714,295.3003221665029
adult,budget_50,seed_2,random,0.7855317265579973,3.491655626018038,0.0,0.0,0.0,0.6149239740252727,525.6976704211659
agaricus_lepiota,budget_10,seed_0,gain_path_refined,0.7726559362819247,24.422376103884133,0.0,0.0,0.0,0.2916479129150411,46.04155877288826
agaricus_lepiota,budget_10,seed_0,herding,0.7618286338837411,30.942292111786653,0.0,0.0,0.0,0.2093991688811134,58.33303666984838
agaricus_lepiota,budget_10,seed_0,histdistill_density,0.7743926040657108,26.11929912718544,0.0,0.0,0.0,0.2939121895934532,49.240632473909876
agaricus_lepiota,budget_10,seed_0,histdistill_refined,0.7749002895452721,26.9735316101842,0.0,0.0,0.0,0.2538054659441257,50.851048876654666
agaricus_lepiota,budget_10,seed_0,random,0.7468254183914085,31.12513210166004,0.0,0.0,0.0,0.2882758984964776,58.67773032717237
agaricus_lepiota,budget_10,seed_1,gain_path_refined,0.7726055149467557,22.63987466635975,0.0,0.0,0.0,0.2345446383767463,47.96785985962832
agaricus_lepiota,budget_10,seed_1,herding,0.7618286338837411,28.69888417118897,0.0,0.0,0.0,0.1954075144684345,60.80528599819517
agaricus_lepiota,budget_10,seed_1,histdistill_density,0.7740301441084029,22.57042156973964,0.0,0.0,0.0,0.2853445618828956,47.820707260305795
agaricus_lepiota,budget_10,seed_1,histdistill_refined,0.7733912725801534,22.82541778278609,0.0,0.0,0.0,0.2808881955872713,48.360976267639266
agaricus_lepiota,budget_10,seed_1,random,0.7602560618823764,35.26425504662971,0.0,0.0,0.0,0.3144983040265217,74.71555691270564
agaricus_lepiota,budget_10,seed_2,gain_path_refined,0.765679676578837,25.96346833309265,0.0,0.0,0.0,0.2296070059350134,62.15021216801869
agaricus_lepiota,budget_10,seed_2,herding,0.7618286338837411,28.04428261330336,0.0,0.0,0.0,0.1752279151057668,67.13117416193326
agaricus_lepiota,budget_10,seed_2,histdistill_density,0.7630360286103337,29.362693808804487,0.0,0.0,0.0,0.217557115369169,70.28712907804311
