dataset,method,budget,root_agreement_mean,top5_overlap_mean,gain_rank_correlation_mean
australian,gain_herding,budget_50,0.3333333333333333,0.3333333333333333,0.32142109064776897
australian,gain_path_diverse,budget_25,0.0,0.0,-0.07124082359519561
australian,gain_path_diverse,budget_50,0.0,0.2,0.17417978293796604
australian,gain_path_dual,budget_25,1.0,0.2,0.4169990911455912
australian,gain_path_dual,budget_50,1.0,0.4,0.28127473778491596
australian,gain_path_herding,budget_10,1.0,0.26666666666666666,0.502689832903534
australian,gain_path_herding,budget_100,0.3333333333333333,0.20000000000000004,0.3617257212452152
australian,gain_path_herding,budget_25,0.0,0.26666666666666666,0.2754432434106623
australian,gain_path_herding,budget_50,0.3333333333333333,0.20000000000000004,0.3639648167019553
australian,gain_path_prior_weighted,budget_25,0.0,0.26666666666666666,0.24840194870762802
australian,gain_path_prior_weighted,budget_50,0.3333333333333333,0.26666666666666666,0.3352843508160552
australian,gain_path_refined,budget_10,1.0,0.44000000000000006,0.5446074291665479
australian,gain_path_refined,budget_100,0.0,0.24000000000000005,0.3109282305983928
australian,gain_path_refined,budget_200,0.0,0.16,0.2352561370410342
australian,gain_path_refined,budget_25,0.0,0.24000000000000005,0.2770813564237663
australian,gain_path_refined,budget_50,0.4,0.28,0.30720020415869975
australian,gain_path_refined_weighted,budget_50,0.0,0.2,0.26861600973353555
australian,gain_path_safeguarded,budget_25,0.0,0.26666666666666666,0.24383897358878004
australian,gain_path_safeguarded,budget_50,0.0,0.20000000000000004,0.40275916219494334
australian,gain_weighted_coreset,budget_10,0.0,0.06666666666666667,0.088597660791066
australian,gain_weighted_coreset,budget_100,0.0,0.3333333333333333,0.5218816866859738
australian,gain_weighted_coreset,budget_25,0.0,0.13333333333333333,0.32494752424084045
australian,gain_weighted_coreset,budget_50,0.0,0.13333333333333333,0.2820197644081936
australian,gaindistill,budget_10,0.0,0.13333333333333333,-0.09080441690895041
australian,gaindistill,budget_100,0.0,0.06666666666666667,-0.0769258859006972
australian,gaindistill,budget_25,0.0,0.13333333333333333,-0.15617112596869434
australian,gaindistill,budget_50,0.0,0.13333333333333333,-0.17276428637348498
australian,gaindistill_anchor,budget_25,0.6666666666666666,0.3333333333333333,0.30782204154847176
australian,gaindistill_anchor,budget_50,0.0,0.26666666666666666,0.3536662669951272
australian,gaindistill_full,budget_25,0.6666666666666666,0.26666666666666666,0.30672873099192705
australian,gaindistill_full,budget_50,0.0,0.26666666666666666,0.35375185886718175
australian,gaindistill_hybrid,budget_10,0.0,0.06666666666666667,0.088597660791066
australian,gaindistill_hybrid,budget_100,0.0,0.3333333333333333,0.5218816866859738
australian,gaindistill_hybrid,budget_25,0.0,0.13333333333333333,0.32494752424084045
australian,gaindistill_hybrid,budget_50,0.0,0.13333333333333333,0.2820197644081936
australian,gaindistill_path_hybrid,budget_10,0.0,0.13333333333333333,0.04644684253970208
australian,gaindistill_path_hybrid,budget_100,0.0,0.4666666666666666,0.5461123351000267
australian,gaindistill_path_hybrid,budget_25,0.0,0.06666666666666667,0.2922110322225781
australian,gaindistill_path_hybrid,budget_50,0.0,0.4000000000000001,0.39309074925521675
australian,goss_coreset,budget_25,0.0,0.13333333333333333,0.11312980686729657
australian,goss_coreset,budget_50,0.0,0.0,0.1933467892245242
australian,gradient_sampling,budget_10,0.0,0.06666666666666667,-0.08013049167456805
australian,gradient_sampling,budget_100,0.3333333333333333,0.5333333333333333,0.6787015957332887
australian,gradient_sampling,budget_25,0.0,0.0,-0.034366557859083685
australian,gradient_sampling,budget_50,0.6666666666666666,0.26666666666666666,0.37207215153143514
australian,gradmatch_coreset,budget_25,0.3333333333333333,0.06666666666666667,0.38904975727486685
australian,gradmatch_coreset,budget_50,0.3333333333333333,0.20000000000000004,0.3535394627674056
australian,grand_coreset,budget_25,0.3333333333333333,0.20000000000000004,0.36855691773606747
australian,grand_coreset,budget_50,0.0,0.13333333333333333,0.21345291513696965
australian,herding,budget_10,0.0,0.28,0.36567723309836114
australian,herding,budget_100,1.0,0.2,0.3929561067629892
australian,herding,budget_200,0.0,0.12000000000000002,0.3280387736765912
australian,herding,budget_25,0.0,0.04,0.25159444571308615
australian,herding,budget_50,0.0,0.4,0.27502197031713516
australian,histdistill_density,budget_10,1.0,0.4,0.519183844037315
australian,histdistill_density,budget_100,0.6,0.28,0.34495333218133545
australian,histdistill_density,budget_200,0.0,0.2,0.2165568380088847
australian,histdistill_density,budget_25,0.2,0.28,0.3099547342815746
australian,histdistill_density,budget_50,0.4,0.32,0.3602857744959952
australian,histdistill_density_mid,budget_25,0.0,0.26666666666666666,0.26766828285500427
australian,histdistill_density_mid,budget_50,0.3333333333333333,0.20000000000000004,0.4138943647113149
australian,histdistill_density_strong,budget_25,0.0,0.26666666666666666,0.26766828285500427
australian,histdistill_density_strong,budget_50,0.3333333333333333,0.20000000000000004,0.4138943647113149
australian,histdistill_density_weak,budget_25,0.0,0.26666666666666666,0.26766828285500427
australian,histdistill_density_weak,budget_50,0.3333333333333333,0.26666666666666666,0.393443181122126
australian,histdistill_density_xstrong,budget_25,0.0,0.26666666666666666,0.26766828285500427
australian,histdistill_density_xstrong,budget_50,0.3333333333333333,0.20000000000000004,0.41327499967924614
australian,histdistill_greedy,budget_25,0.0,0.13333333333333333,0.15263407475024987
